id	country	collection_date
JN558836.1_India_2009-07-01	India	2009-07-01
JN558835.1_India_2008-07-01	India	2008-07-01
JN558834.1_India_2009-07-01	India	2009-07-01
FN295483.3_Malaysia_2006-03-15	Malaysia	2006-03-15
FN295487.2_Malaysia_2008-07-01	Malaysia	2008-07-01
JQ861260.1_Cambodia_2011-05-28	Cambodia	2011-05-28
JQ861257.1_Cambodia_2011-08-16	Cambodia	2011-08-16
HE806461.1_New Caledonia_2011-02-28	New Caledonia	2011-02-28
JF274082.1_India_2006-09-27	India	2006-09-27
AF369024_Tazania_1953-07-01	Tazania	1953-07-01
JX088705.1_China_2010-07-01	China	2010-07-01
JQ067624.1_China_2010-07-01	China	2010-07-01
GU189061.1_Sri Lanka_2006-07-01	Sri Lanka	2006-07-01
HM045823.1_Angola_1962-07-01	Angola	1962-07-01
HM045822.1_Central African Republic_1978-10-15	Central African Republic	1978-10-15
HM045821.1_Senegal_1963-03-20	Senegal	1963-03-20
HM045820.1_Cote d'Ivoire_1993-12-15	Cote d'Ivoire	1993-12-15
HM045819.1_Senegal_1993-02-15	Senegal	1993-02-15
HM045818.1_Cote d'Ivoire_1981-09-15	Cote d'Ivoire	1981-09-15
HM045817.1_Senegal_2005-11-15	Senegal	2005-11-15
HM045816.1_Senegal_1966-11-23	Senegal	1966-11-23
HM045815.1_Senegal_1979-02-15	Senegal	1979-02-15
HM045814.1_Thailand_1975-07-01	Thailand	1975-07-01
HM045813.1_India_1963-11-06	India	1963-11-06
HM045811.1_Tanzania_1953-02-22	Tanzania	1953-02-22
HM045810.1_Thailand_1958-07-01	Thailand	1958-07-01
HM045809.1_Democratic Republic of the Congo_1960-07-01	Democratic Republic of the Congo	1960-07-01
HM045808.1_Thailand_1978-07-01	Thailand	1978-07-01
HM045806.1_India_1986-07-01	India	1986-07-01
HM045802.1_Thailand_1995-07-01	Thailand	1995-07-01
HM045801.1_Sri Lanka_2007-07-01	Sri Lanka	2007-07-01
HM045799.1_Sri Lanka_2007-07-01	Sri Lanka	2007-07-01
HM045797.1_Indonesia_1985-07-01	Indonesia	1985-07-01
HM045796.1_Thailand_1995-07-01	Thailand	1995-07-01
HM045795.1_South Africa_1976-07-01	South Africa	1976-07-01
HM045792.1_South Africa_1956-04-15	South Africa	1956-04-15
HM045791.1_Indonesia_1983-07-01	Indonesia	1983-07-01
HM045790.1_Philippines_1985-07-17	Philippines	1985-07-17
HM045789.1_Thailand_1988-07-01	Thailand	1988-07-01
HM045788.1_India_1973-07-01	India	1973-07-01
HM045787.1_Thailand_1995-07-01	Thailand	1995-07-01
HM045786.1_Nigeria_1964-07-07	Nigeria	1964-07-07
HM045785.1_Senegal_1966-11-15	Senegal	1966-11-15
HM045784.1_Central African Republic_1984-11-19	Central African Republic	1984-11-19
GU301781.1_Thailand_2009-07-27	Thailand	2009-07-27
GU301780.1_Thailand_2008-10-21	Thailand	2008-10-21
GU301779.1_Thailand_2009-09-04	Thailand	2009-09-04
GU908223.1_Thailand_2009-08-14	Thailand	2009-08-14
GQ905863.1_Thailand_2009-05-25	Thailand	2009-05-25
GU199352.1_China_2008-07-01	China	2008-07-01
GU199351.1_China_2008-07-01	China	2008-07-01
GU199350.1_China_2008-07-01	China	2008-07-01
FJ807898.1_Bangladesh_2008-07-01	Bangladesh	2008-07-01
FJ807897.1_Indonesia_2007-07-01	Indonesia	2007-07-01
GQ428215.1_India_2008-05-29	India	2008-05-29
GQ428214.1_India_2008-06-29	India	2008-06-29
GQ428210.1_India_2006-10-07	India	2006-10-07
EU703762.1_Malaysia_2006-07-01	Malaysia	2006-07-01
EU703761.1_Malaysia_2006-07-01	Malaysia	2006-07-01
EU703760.1_Malaysia_2006-07-01	Malaysia	2006-07-01
EU703759.1_Malaysia_2006-07-01	Malaysia	2006-07-01
FJ000069.1_India_2007-06-15	India	2007-06-15
FJ000065.1_India_2006-09-15	India	2006-09-15
FJ000064.1_India_2006-09-15	India	2006-09-15
FJ000063.1_India_2006-10-15	India	2006-10-15
FJ000062.1_India_2006-09-15	India	2006-09-15
EU244823.2_Italy_2007-07-01	Italy	2007-07-01
EU372006.1_India_2007-06-11	India	2007-06-11
EF210157.2_India_2006-07-01	India	2006-07-01
EU564334.1_Mauritius_2006-02-14	Mauritius	2006-02-14
EF027136.1_India_2006-07-01	India	2006-07-01
DQ443544.2_Reunion_2006-07-01	Reunion	2006-07-01
CHRF_RNA_0094_Bangladesh_2017-11-19	Bangladesh	2017-11-19
CHRF_RNA_0071_Bangladesh_2017-06-14	Bangladesh	2017-06-14
CHRF_RNA_0012_Bangladesh_2017-06-05	Bangladesh	2017-06-05
